rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
25,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,424,424,3710,3710,3286,3286,snapshot_2026_09_09.json,snapshot_2026_08_10.json
26,map,toronto,Toronto,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,412,412,3311,3311,2899,2899,snapshot_2026_09_09.json,snapshot_2026_08_10.json
27,map,yukina-kyoto,京都 (Kyōto),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,402,402,1685,1685,1283,1283,snapshot_2026_09_09.json,snapshot_2026_08_10.json
28,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,390,390,2515,2515,2125,2125,snapshot_2026_09_09.json,snapshot_2026_08_10.json
29,map,seoul,Seoul,cromstar,cromstar,https://github.com/cromstar,371,371,371,371,0,0,snapshot_2026_09_09.json,snapshot_2026_08_10.json
30,map,yukina-lv-riga,Rīga,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,361,361,853,853,492,492,snapshot_2026_09_09.json,snapshot_2026_08_10.json
31,mod,track-anarchy,Track Anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,359,359,1860,1860,1501,1501,snapshot_2026_09_09.json,snapshot_2026_08_10.json
32,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,351,351,1755,1755,1404,1404,snapshot_2026_09_09.json,snapshot_2026_08_10.json
33,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,347,347,1175,1175,828,828,snapshot_2026_09_09.json,snapshot_2026_08_10.json
34,map,yukina-lt-vilnius,Vilnius,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,340,340,498,498,158,158,snapshot_2026_09_09.json,snapshot_2026_08_10.json
35,map,yukina-sapporo-chitose,札幌 (Sapporo),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,334,334,1165,1165,831,831,snapshot_2026_09_09.json,snapshot_2026_08_10.json
36,mod,japanese-trains,Japanese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,330,330,1124,1124,794,794,snapshot_2026_09_09.json,snapshot_2026_08_10.json
37,map,yukina-ee-tallinn,Tallinn,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,330,330,782,782,452,452,snapshot_2026_09_09.json,snapshot_2026_08_10.json
38,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,329,329,1035,1035,706,706,snapshot_2026_09_09.json,snapshot_2026_08_10.json
39,mod,scrollable-dropdowns,Scrollable Dropdowns,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,322,322,1720,1720,1398,1398,snapshot_2026_09_09.json,snapshot_2026_08_10.json
40,mod,track-visualizer,track height visualizer,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,309,309,2552,2552,2243,2243,snapshot_2026_09_09.json,snapshot_2026_08_10.json
41,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,303,303,3048,3048,2745,2745,snapshot_2026_09_09.json,snapshot_2026_08_10.json
42,map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,299,299,843,843,544,544,snapshot_2026_09_09.json,snapshot_2026_08_10.json
43,map,beijing,Beijing,Kronifer,Kronifer,https://github.com/Kronifer,297,297,1070,1070,773,773,snapshot_2026_09_09.json,snapshot_2026_08_10.json
44,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,291,291,3767,3767,3476,3476,snapshot_2026_09_09.json,snapshot_2026_08_10.json
45,map,montreal,Montreal,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,279,279,2301,2301,2022,2022,snapshot_2026_09_09.json,snapshot_2026_08_10.json
46,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,275,275,1220,1220,945,945,snapshot_2026_09_09.json,snapshot_2026_08_10.json
47,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,274,274,953,953,679,679,snapshot_2026_09_09.json,snapshot_2026_08_10.json
48,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,263,263,755,755,492,492,snapshot_2026_09_09.json,snapshot_2026_08_10.json
49,map,singapore-val,Singapore,Valdotorium,Valdotorium,https://github.com/Valdotorium,261,261,1803,1803,1542,1542,snapshot_2026_09_09.json,snapshot_2026_08_10.json
50,map,yukina-fukuoka,福岡 (Fukuoka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,261,261,1137,1137,876,876,snapshot_2026_09_09.json,snapshot_2026_08_10.json
51,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,256,256,885,885,629,629,snapshot_2026_09_09.json,snapshot_2026_08_10.json
52,map,yukina-kobe-akashi,神戸・姫路 (Kōbe & Himeji),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,255,255,848,848,593,593,snapshot_2026_09_09.json,snapshot_2026_08_10.json
53,map,yukina-cz-brno,Brno,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,253,253,776,776,523,523,snapshot_2026_09_09.json,snapshot_2026_08_10.json
54,map,yukina-pl-katowice-gzm,Katowice - GZM,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,252,252,600,600,348,348,snapshot_2026_09_09.json,snapshot_2026_08_10.json
