rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
62,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2,nzh0172,naz,https://github.com/nzh0172,3,22,22,232,232,210,210,snapshot_2026_09_07.json,snapshot_2026_08_31.json
63,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,nzh0172,naz,https://github.com/nzh0172,1,21,21,566,566,545,545,snapshot_2026_09_07.json,snapshot_2026_08_31.json
64,danield1909/pathfinding-realism-mod,Pathfinding-Realism-Mod,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,21,21,280,280,259,259,snapshot_2026_09_07.json,snapshot_2026_08_31.json
65,m4d5hr1mp/sb-mods,SB-Mods,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,16,16,293,293,277,277,snapshot_2026_09_07.json,snapshot_2026_08_31.json
66,lexenygma/sb-brussels,sb-brussels,lexenygma,lexenygma,https://github.com/lexenygma,1,16,16,126,126,110,110,snapshot_2026_09_07.json,snapshot_2026_08_31.json
67,tesarzh/railyard,railyard,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,15,15,245,245,230,230,snapshot_2026_09_07.json,snapshot_2026_08_31.json
68,bquelhas/subwaybuilder-map-opo,subwaybuilder-map-opo,bquelhas,bquelhas,https://github.com/bquelhas,1,14,14,875,875,861,861,snapshot_2026_09_07.json,snapshot_2026_08_31.json
69,pswbsf/buffalo-ny,buffalo-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,14,14,195,195,181,181,snapshot_2026_09_07.json,snapshot_2026_08_31.json
70,worstboyinaustral1a/subway-builder-za,subway-builder-za,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,12,12,368,368,356,356,snapshot_2026_09_07.json,snapshot_2026_08_31.json
71,kaicardenas0618/chinese-trains,chinese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,11,11,514,514,503,503,snapshot_2026_09_07.json,snapshot_2026_08_31.json
72,barkuperman/jerusalem-sb-map,jerusalem-sb-map,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,11,11,281,281,270,270,snapshot_2026_09_07.json,snapshot_2026_08_31.json
73,pswbsf/connecticut-usa,connecticut-usa,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,11,11,194,194,183,183,snapshot_2026_09_07.json,snapshot_2026_08_31.json
