rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
20,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,506,506,506,506,0,0,snapshot_2026_09_10.json,snapshot_2026_08_11.json,506,506,0,0
21,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,7,0,475,475,4456,4456,3981,3981,snapshot_2026_09_10.json,snapshot_2026_08_11.json,475,475,0,0
22,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,408,408,3716,3716,3308,3308,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,408,408
23,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,10,10,0,376,374,1723,1721,1347,1347,snapshot_2026_09_10.json,snapshot_2026_08_11.json,376,374,0,0
24,cromstar,cromstar,https://github.com/cromstar,1,1,0,339,339,373,373,34,34,snapshot_2026_09_10.json,snapshot_2026_08_11.json,339,339,0,0
25,jelegend,jelegend,https://github.com/jelegend,1,1,0,264,264,3769,3769,3505,3505,snapshot_2026_09_10.json,snapshot_2026_08_11.json,264,264,0,0
26,danielloong714,danielloong714,https://github.com/danielloong714,1,0,1,264,264,264,264,0,0,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,264,264
27,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,2,2,0,248,248,1040,1040,792,792,snapshot_2026_09_10.json,snapshot_2026_08_11.json,248,248,0,0
28,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,0,1,219,219,2796,2796,2577,2577,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,219,219
29,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,0,1,217,217,2612,2612,2395,2395,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,217,217
30,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,0,1,215,215,215,215,0,0,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,215,215
31,Mpfk,Mpfk,https://github.com/Mpfk,1,0,1,199,199,1892,1892,1693,1693,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,199,199
32,arniber21,arniber21,https://github.com/arniber21,1,0,1,190,190,245,245,55,55,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,190,190
33,soccerjonj,soccerjonj,https://github.com/soccerjonj,7,7,0,189,189,1662,1662,1473,1473,snapshot_2026_09_10.json,snapshot_2026_08_11.json,189,189,0,0
34,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,168,168,1363,1363,1195,1195,snapshot_2026_09_10.json,snapshot_2026_08_11.json,168,168,0,0
35,TransitCore,TransitCore,https://github.com/TransitCore,2,0,2,152,152,1527,1527,1375,1375,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,152,152
36,YellowAquarium,YellowAquarium,https://github.com/YellowAquarium,1,0,1,138,138,138,138,0,0,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,138,138
37,xoaninc,xoaninc,https://github.com/xoaninc,1,0,1,126,126,176,176,50,50,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,126,126
38,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,3,0,3,114,114,114,114,0,0,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,114,114
39,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,0,1,100,100,251,251,151,151,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,100,100
40,m4d5hr1mp,m4d5hr1mp,https://github.com/m4d5hr1mp,1,0,1,88,88,305,305,217,217,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,88,88
41,JcPires,JcPires,https://github.com/JcPires,1,1,0,77,77,94,94,17,17,snapshot_2026_09_10.json,snapshot_2026_08_11.json,77,77,0,0
42,Capitao-piolho,Miguel Sousa,https://github.com/Capitao-piolho,1,1,0,76,76,612,612,536,536,snapshot_2026_09_10.json,snapshot_2026_08_11.json,76,76,0,0
43,lexenygma,lexenygma,https://github.com/lexenygma,1,1,0,76,76,131,131,55,55,snapshot_2026_09_10.json,snapshot_2026_08_11.json,76,76,0,0
44,bean1322,bean1322,https://github.com/bean1322,2,2,0,58,58,183,183,125,125,snapshot_2026_09_10.json,snapshot_2026_08_11.json,58,58,0,0
45,giannons46,giannons46,https://github.com/giannons46,1,1,0,52,52,173,173,121,121,snapshot_2026_09_10.json,snapshot_2026_08_11.json,52,52,0,0
46,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,1,0,49,49,371,371,322,322,snapshot_2026_09_10.json,snapshot_2026_08_11.json,49,49,0,0
47,hernang87,hernang87,https://github.com/hernang87,1,1,0,46,46,145,145,99,99,snapshot_2026_09_10.json,snapshot_2026_08_11.json,46,46,0,0
48,holapapie-png,holapapie-png,https://github.com/holapapie-png,2,2,0,46,46,46,46,0,0,snapshot_2026_09_10.json,snapshot_2026_08_11.json,46,46,0,0
49,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,1,0,43,43,145,145,102,102,snapshot_2026_09_10.json,snapshot_2026_08_11.json,43,43,0,0
50,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,0,29,29,157,157,128,128,snapshot_2026_09_10.json,snapshot_2026_08_11.json,29,29,0,0
51,TathanDev,TathanDev,https://github.com/TathanDev,1,0,1,14,14,212,212,198,198,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,14,14
52,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,1,0,10,10,314,314,304,304,snapshot_2026_09_10.json,snapshot_2026_08_11.json,10,10,0,0
53,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,0,8,8,380,380,372,372,snapshot_2026_09_10.json,snapshot_2026_08_11.json,8,8,0,0
54,bquelhas,bquelhas,https://github.com/bquelhas,1,1,0,3,3,268,268,265,265,snapshot_2026_09_10.json,snapshot_2026_08_11.json,3,3,0,0
55,IMB11,IMB11,https://github.com/IMB11,2,0,2,0,0,1288,1288,1288,1288,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,0,0
56,matematysek,matematysek,https://github.com/matematysek,1,0,1,0,0,23,23,23,23,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,0,0
57,akospanov,akospanov,https://github.com/akospanov,1,1,0,0,0,0,0,0,0,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,0,0
58,Meszier83,Meszier83,https://github.com/Meszier83,1,1,0,0,0,0,0,0,0,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,0,0
59,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,2,0,2,0,0,0,0,0,0,snapshot_2026_09_10.json,snapshot_2026_08_11.json,0,0,0,0
