rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
53,cromstar/subwaybuilder-seoul-map,subwaybuilder-seoul-map,cromstar,cromstar,https://github.com/cromstar,1,10,10,373,373,363,363,snapshot_2026_09_10.json,snapshot_2026_09_07.json,10,10,0,0
54,xoaninc/madrid-transit-pack,madrid-transit-pack,xoaninc,xoaninc,https://github.com/xoaninc,1,10,10,176,176,166,166,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,10,10
55,pierreggt/subway-builder-istanbul,subway-builder-istanbul,pierreggt,pierreggt,https://github.com/pierreggt,1,9,9,507,507,498,498,snapshot_2026_09_10.json,snapshot_2026_09_07.json,9,9,0,0
56,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,8,8,2195,2195,2187,2187,snapshot_2026_09_10.json,snapshot_2026_09_07.json,8,8,0,0
57,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,8,8,1890,1890,1882,1882,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,8,8
58,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,nzh0172,naz,https://github.com/nzh0172,1,6,6,572,572,566,566,snapshot_2026_09_10.json,snapshot_2026_09_07.json,6,6,0,0
59,danield1909/pathfinding-realism-mod,Pathfinding-Realism-Mod,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,6,6,286,286,280,280,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,6,6
60,tesarzh/railyard,railyard,Tesarzh,Tesarzh,https://github.com/Tesarzh,1,6,6,251,251,245,245,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,6,6
61,noahgarrf/la-metro-trainpack,la-metro-trainpack,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,1,6,6,29,29,23,23,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,6,6
62,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,5,5,3769,3769,3764,3764,snapshot_2026_09_10.json,snapshot_2026_09_07.json,5,5,0,0
63,nerdiesanders/subway-builder-gchi,subway-builder-gchi,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,5,5,989,989,984,984,snapshot_2026_09_10.json,snapshot_2026_09_07.json,5,5,0,0
64,bquelhas/subwaybuilder-map-opo,subwaybuilder-map-opo,bquelhas,bquelhas,https://github.com/bquelhas,1,5,5,880,880,875,875,snapshot_2026_09_10.json,snapshot_2026_09_07.json,5,5,0,0
65,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,5,5,759,759,754,754,snapshot_2026_09_10.json,snapshot_2026_09_07.json,5,5,0,0
66,transitcore/cinematic-camera,cinematic-camera,TransitCore,TransitCore,https://github.com/TransitCore,1,5,5,624,624,619,619,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,5,5
67,kaicardenas0618/chinese-trains,chinese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,5,5,519,519,514,514,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,5,5
68,crumpetime/sb-maps-msy,sb-maps-msy,crumpetime,muffintime,https://github.com/crumpetime,1,5,5,263,263,258,258,snapshot_2026_09_10.json,snapshot_2026_09_07.json,5,5,0,0
69,lexenygma/sb-brussels,sb-brussels,lexenygma,lexenygma,https://github.com/lexenygma,1,5,5,131,131,126,126,snapshot_2026_09_10.json,snapshot_2026_09_07.json,5,5,0,0
70,kimth9/sb_korean_transit_pack_v2,sb_korean_transit_pack_v2,kimth9,kimth9,https://github.com/kimth9,1,4,4,434,434,430,430,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,4,4
71,crumpetime/sb-maps-orf,sb-maps-orf,crumpetime,muffintime,https://github.com/crumpetime,1,4,4,320,320,316,316,snapshot_2026_09_10.json,snapshot_2026_09_07.json,4,4,0,0
72,prodigious-penguin/penguin-approved-rolling-stock,Penguin-Approved-Rolling-Stock,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,1,4,4,215,215,211,211,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,4,4
73,giannons46/sofia-subway-builder-map,sofia-subway-builder-map,giannons46,giannons46,https://github.com/giannons46,1,4,4,173,173,169,169,snapshot_2026_09_10.json,snapshot_2026_09_07.json,4,4,0,0
74,kaicardenas0618/subway-builder-sfl,subway-builder-sfl,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,3,3,446,446,443,443,snapshot_2026_09_10.json,snapshot_2026_09_07.json,3,3,0,0
75,worstboyinaustral1a/subway-builder-za,subway-builder-za,worstboyinaustral1a,worstboyinaustral1a,https://github.com/worstboyinaustral1a,1,3,3,371,371,368,368,snapshot_2026_09_10.json,snapshot_2026_09_07.json,3,3,0,0
76,hernang87/amba-buenos-aires-metropolitan-area-for-subway-builder,AMBA-Buenos-Aires-Metropolitan-Area-for-Subway-Builder,hernang87,hernang87,https://github.com/hernang87,1,3,3,145,145,142,142,snapshot_2026_09_10.json,snapshot_2026_09_07.json,3,3,0,0
77,danield1909/improvedtwincities,improvedTwinCities,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,2,2,492,492,490,490,snapshot_2026_09_10.json,snapshot_2026_09_07.json,2,2,0,0
